threshold,precision,recall,f1,detection_rate,median_warning_min,false_alarm_event_rate,n_warned_events,n_breaching_events,n_clean_events
0.05,0.48426496192926377,0.8788850634344196,0.6244554654513772,1.0,5.166666507720947,0.972972972972973,185,185,111
0.1,0.558179406722091,0.8137999339716078,0.6621766827845575,0.9837837837837838,5.166666507720947,0.8828828828828829,182,185,111
0.15,0.6115033068291595,0.7762109135499693,0.6840825487873309,0.9837837837837838,5.083333492279053,0.7567567567567568,182,185,111
0.2,0.6512704918032787,0.7494694147054662,0.6969278336951517,0.9837837837837838,5.083333492279053,0.6666666666666666,182,185,111
0.25,0.6791924222884334,0.7203225958590765,0.6991531242847334,0.9783783783783784,5.0,0.6036036036036037,181,185,111
0.3,0.7043059463068047,0.6965995378012545,0.700431545501968,0.9675675675675676,4.916666507720947,0.5495495495495496,179,185,111
0.35,0.7284731073158297,0.6739140687638542,0.7001322945759224,0.9567567567567568,4.833333492279053,0.5045045045045045,177,185,111
0.4,0.7480532121998702,0.6524076781587511,0.6969643531930974,0.9459459459459459,4.833333492279053,0.44144144144144143,175,185,111
0.45,0.7634274010013655,0.6328349761826156,0.6920240336264474,0.9405405405405406,4.75,0.3783783783783784,174,185,111
0.5,0.7785234899328859,0.6127434796962694,0.6857565121004988,0.918918918918919,4.708333253860474,0.3333333333333333,170,185,111
0.55,0.7905571293673277,0.592274678111588,0.6772001725625539,0.9135135135135135,4.583333492279053,0.27927927927927926,169,185,111
0.6,0.8054966887417219,0.5736452388812904,0.6700823623392006,0.9135135135135135,4.583333492279053,0.23423423423423423,169,185,111
0.65,0.8198362147406734,0.5524218270999387,0.6600732600732601,0.8918918918918919,4.583333492279053,0.1891891891891892,165,185,111
0.7,0.8342623560014865,0.5294062161014951,0.6477580933694963,0.8702702702702703,4.583333492279053,0.15315315315315314,161,185,111
0.75,0.8475925189017111,0.5022874121586568,0.630774697938877,0.8432432432432433,4.5,0.13513513513513514,156,185,111
0.8,0.8618770337386539,0.4746969768428996,0.6122076579179465,0.8324324324324325,4.5,0.09009009009009009,154,185,111
0.85,0.8812447277158122,0.44342781681837473,0.5899849397590361,0.8108108108108109,4.416666507720947,0.07207207207207207,150,185,111
0.9,0.9039042277825712,0.39527425364335234,0.5500246103363413,0.745945945945946,4.458333253860474,0.06306306306306306,138,185,111
0.95,0.9265744140073425,0.3094845069093996,0.4639915149372459,0.6378378378378379,4.416666507720947,0.036036036036036036,118,185,111
